,username,location,text,hashtags,tweet_date
10,Neil Fletcher 🌊,EU,"Albatross ‘divorce’ rates up due to climate change, study finds https://t.co/QTXz8ofAJc",[],2021-11-26 22:45:49
11,Political Humor & Lack Thereof,"New York, USA","@The_Manzino @kerford81 @nuckingfuts99 @PhilWat10873351 @Natem991 @benshapiro This has been completely debunked and they changed it from ""global warming"" to ""climate change"". Because if greenhouse gases were getting trapped and things were heating up we wouldn't be having snow in Texas. They changed it to climate change when they realized it was normal. https://t.co/7SEiSEgNNv",[],2021-11-26 22:45:35
12,The Nation,,"""In this sweeping imperial transition, global warming will undoubtedly be the catalyst for a witch’s brew of change guaranteed to erode both America’s world system and its once unchallenged hegemony."" https://t.co/NXUcICBgFE",[],2021-11-26 22:30:00
13,Dr. Abbie 🍂,Anishinaabeg/Odawa land,"(But don't worry, we should worry about climate change/global warming, capitalist dystopia, catastrophic global war, the Sun becoming a red giant, and probably some rogue asteroids, before we should worry about black holes ¯\_(ツ)_/¯ #BlackHoleFriday)","[{'text': 'BlackHoleFriday', 'indices': [233, 249]}]",2021-11-26 22:23:00
14,W. James Wright,Canada,@brianlilley @Tastic1 @JustinTrudeau But climate change lol biggest joke on the world. I have dealt with acid rain global warming - these politicians know how to make money on pseudo science,[],2021-11-26 22:17:08
15,GalenW,Earth ,"@rebeccabguinn @MyTwinMN @RBReich We were warned about climate change and global warming thirty years ago and humanity always answered with the cargo cult mantra of ""We'll invent a way out in the future!""

Guess what? The future is here and the devil is calling the tune.",[],2021-11-26 22:13:11
16,IoT Channel 66,Online,"State of the climate: 2020 ties as warmest year on record https://t.co/PGMYJs8jgM #ClimateChange #environment
rt @wef https://t.co/TKGcz19ojv","[{'text': 'ClimateChange', 'indices': [82, 96]}, {'text': 'environment', 'indices': [97, 109]}]",2021-11-26 22:12:11
17,Chuck,,"@UKsnow_updates Is that global warming , climate change or weather ?",[],2021-11-26 22:06:15
18,CorvusSG,Queensland,"@goodfoodgal Always, for as long as they are able to get away with it. And if that stops working there'll be something else - like their goddess Gaia being 'harmed' by global climate warming change cooling ... thing. 

Then they'll lock us up to hit their Naz... sorry, Net Zero targets.",[],2021-11-26 21:56:35
19,💧🏸 BettyG,Sydney Australia,"https://t.co/wOyAkN6WjI

Peer reviewed research: “evidence showing changes in weather due to global warming were the driving force behind the boom in Australia’s bushfires” 

No excuse for more robust #climateaction #auspol","[{'text': 'climateaction', 'indices': [201, 215]}, {'text': 'auspol', 'indices': [216, 223]}]",2021-11-26 21:29:01
20,Mr Eton Oldboys OBE,Weymouth,"@CalSocialHermit @TheRainbowEnds I was conned into buying a diesel car to save the planet and stop global warming, now its climate change",[],2021-11-26 21:26:06
21,Tim Edwards,"Huntsville, AL ","Interior Dept. Report on Drilling Is Mostly Silent on Climate Change

The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications.https://t.co/VpeF1U1NFI",[],2021-11-26 21:20:54
22,Kathy #Dragons,,@tangledfoooted @EU_NO_MORE I cringe when people use examples of it being cold to show there is no climate change. They learnt the term global warming as a kid and still have no idea what it means. Very cringeworthy and says something about our education system people are this stupid.,[],2021-11-26 21:05:02
23,Kabull,"England, United Kingdom","@demilynne701 There's no global warming now, it's all climate change 😃",[],2021-11-26 20:57:45
24,A Window On Tech,Twitterverse,"Rt @wef 
This disease kills 400,000 people a year. A new map shows where climate change will make it worse https://t.co/7cAWBqXUR8 #WorldMalariaDay https://t.co/Sk0nuiegeJ","[{'text': 'WorldMalariaDay', 'indices': [131, 147]}]",2021-11-26 20:50:05
25,Deb Hunt,,@PhilWat10873351 @Natem991 @benshapiro If you talk to any weather person worth their salt they will tell you these are normal changes. I guess pushing global warming didn't work so now its pushing climate change!,[],2021-11-26 20:43:15
26,Sam Gatige Gathari,"Thiba, Kenya",@ScienceNotDogma @redmayne_robert Wow I'm very excited and encouraged by each and everyone's😊 simple action however it may look like.. but making a great impact on the environmental conservation.. stop global warming and climate change agenda around the globe.. keep it up 👍 guys..#saveplanetearth,"[{'text': 'saveplanetearth', 'indices': [281, 297]}]",2021-11-26 20:25:06
27,Tony,Australia,"@smh I am in my late 70’s weather be same all my life Australia has droughts, floods, bushfires,very hot weather, very cold weather etc that’s Australia nothing has changed except this people make up lies in my time we had ice Age , Global Warming, Climate Change nothing happened",[],2021-11-26 20:21:54
28,Mark,,"Interior Dept. Report on Drilling Is Mostly Silent on Climate Change 

The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications.

https://t.co/EXw5iaXhLa https://t.co/IxbaAzqTan",[],2021-11-26 20:18:03
29,Midnite Ryder❇️,"39.953917, -76",When global warming became climate change https://t.co/jAOL37iHTv,[],2021-11-26 20:17:49
30,jAnBoK,,"@nickhedley If the vax story falls flat, just through in the global warming (oops, sorry) climate change story...🤭🤡👈🏽
Why are you scared if you are vaxxed?🤭😅",[],2021-11-26 20:01:21
31,hast1721,,@ksorbs and they poop a lot which causes global warming and climate change,[],2021-11-26 19:49:18
32,Denver Guy,Denver,"@PamelaApostolo1 It's happening for the same reason that theres global warming, climate change, mass extinctions, and deforestation. It's the pressure from over-population, it happens slowly at first then faster and faster. Called exponential population growth, we are consuming everything.",[],2021-11-26 19:41:37
33,James Anderson,,"@tan123  ... definitely one for you :)

https://t.co/G3JUqU9M8w",[],2021-11-26 19:37:56
34,Paul Lewis,UK. Usually in London.,Faithfulness was ‘an albatross round my neck’ says bird https://t.co/ArgQOoWqsb,[],2021-11-26 19:36:41
35,chanaaz,Kimberley South Africa ,@DaleDaschner Global warming...oops no I mean climate change moving along nicely,[],2021-11-26 19:33:40
36,Sobia Akbar,,"@iamshafaatali @fawadchaudhry Why can't we choose more than one options?It's difficult.😭😭
In terms of social protection and welfare,Health Card is just revolutionary.
But looking at the rising threat of Global Warming and Climate Change, billion🌲is crucial for the survival of our planet and our future gen.",[],2021-11-26 19:33:03
37,The Age,"Melbourne, Australia",Global warming is changing Australia’s weather for the worse and a new study shows for the first time this is the key driver of deadly bushfires. #climate  #bushfires  https://t.co/sSvcyPusDy,"[{'text': 'climate', 'indices': [146, 154]}, {'text': 'bushfires', 'indices': [156, 166]}]",2021-11-26 19:30:14
38,Allan Margolin,NYC USA,"What's #ClimateChange Doing To The Taste Of Rice  

https://t.co/gTEvcv6F6z

@FoodAndWineDiva @thewebbix @RutherfordRocks @Hays4horsesjude @USAPower2People @maura_resister @KapeciaResists @LiberalResist @K_Thomas_Ross @DocTucson @brat2381 @lorjayzee2 @Lola15363615 @confunctionist https://t.co/YEiqnO1n6Y","[{'text': 'ClimateChange', 'indices': [7, 21]}]",2021-11-26 19:25:00
39,Boo,"The DEEP South, USA","@coachcamxxx @beachlvr21399 EXACTLY!!! Bravo Coach! If Global Warming(or as they now call it Climate Change B/C clearly the“warming”narrative was no longer working)ACTUALLY EXISTED would Nancy Pelosi, the Obamas,etc buy properties along the water’s edge?! Would ANY BANK(in on it) arrange a 30yr mortgage?!🤣",[],2021-11-26 19:19:18
40,James Cat,"Montréal, Québec","Unless Omicron stops global warming or at the very least changes regulatory policy globally to fight climate change, I am not selling $TSLA. FU, Covid.",[],2021-11-26 19:17:13
41,Sheetal Chhabria,"Boston, MA","“climate change is not just a problem of global warming or environmental catastrophes but an intricate network of social and economic injustices.” - ⁦@sakshiaravind⁩

A People’s Green New Deal – ⁦@DivDecEcon⁩  https://t.co/UkHvEamh84",[],2021-11-26 19:16:57
42,USA Unify,"San Francisco, CA","Interior Dept. Report on Drilling Is Mostly Silent on Climate Change. The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications. … https://t.co/bj9D00heoC",[],2021-11-26 19:06:49
43,Willy D,,"Weak minded people label anything they can't properly explain as climate change. Last Jan they blamed a cold spell on climate change. Yes they claimed warm weather forced down cold air and therefore global warming, just rubbish",[],2021-11-26 19:04:37
44,National Interest,"Washington, DC","China's lack of transparency regarding global warming is consistent with its foreign policy in general, argues Hector Schamis. https://t.co/a8yw4fHL0l",[],2021-11-26 19:01:34
45,harsh,"calcutta, India",@ndtv The crises of Climate Change is an impending catastrophe.  Environment crises and Global warming does not recognise  national boundaries. The first world - third world narrative is of no avail. Need to stop ECOCIDES Crimes Against Earth and work towards Environment conservation.,[],2021-11-26 18:52:45
46,Climate Lens,,"@OmarAlghabra The deepening climate crisis as well as the spread of COVID variants is a good time to reflect on air travel in general. 
https://t.co/ZL1zpj3yuq",[],2021-11-26 18:42:26
47,ProgressivePower,"San Francisco, CA","Interior Dept. Report on Drilling Is Mostly Silent on Climate Change. The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications. https://t.co/CPaFVJS9LR https://t.co/46uhZH991k",[],2021-11-26 18:39:49
48,Marcus Evans 📚 ⚛️ 🔭 ⚖️ 💙 🎼 🏀,United States,"Interior Dept. Report on Drilling Is Mostly Silent on Climate Change: The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications. https://t.co/rIjgt59ZL4 https://t.co/lP1QU5Kaau",[],2021-11-26 18:37:06
49,AYMAN,"Mumbai,India","@novaramedia @GretaThunberg @GeorgeMonbiot The most important thing about global warming is this. Whether humans are responsible for the bulk of climate change is going to be left to the scientists, but it's all of our responsibility to leave this planet in better shape for the future generations than we found it.",[],2021-11-26 18:29:01
50,GOVERNOR 048,NAIROBI,"#ecnallstars
With the ongoing Global warming and Climate change @EcnRadio_Ke urges the general public to take caution⚠️ on what they consume. ""We urge our listeners to take more water💧and liquids. Eat greens and protect the environment. Plant trees🌳"" we care about your welfare.","[{'text': 'ecnallstars', 'indices': [0, 12]}]",2021-11-26 18:20:20
51,Bruce Schlink,,I though that saving the planet from global warming/ climate change was a all consuming issue for the democrats I guess not. https://t.co/PUdevkh2f2,[],2021-11-26 18:03:13
52,Charles Burns,"Sunshine Coast, British Columbia, Canada",@JustinTrudeau Canada needs and requires The Green New Deal with no one left behind - Mr Trudeau we cannot live &amp; adapt to climate change this is a failing strategy we need to reverse global warming @theJagmeetSingh,[],2021-11-26 17:56:38
53,Dorian Smith,,@triggerpod @KonstantinKisin @BjornLomborg @francisjfoster Isn’t calling “climate change” “global warming” similar to still referring to a Snickers bar as a Marathon?,[],2021-11-26 17:52:57
54,Sam Enderby,"""A"" Train","Because We Are Not A Serious People Our Interior Dept. Report on Drilling Is Mostly Silent on Climate Change
The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account https://t.co/EI8MVAYoha",[],2021-11-26 17:52:11
55,FixthePeg,,"@ClimateActionMB @CCPAMB @drdurdanaislam There is no climate change! They called it Global warming until Winnipeg had the coldest winter on record, so the name changed to climate change. It is only in existence so government can tax us more.",[],2021-11-26 17:41:47
56,João Paulo Mendes Silva,"São Paulo, Brasil","@UN @UNEP @EU_Commission @POTUS @VP @WhiteHouse @ASEAN @KremlinRussia_E @BorisJohnson @GOVUK @TheChineseGovt Dear All, Jair Bolsonaro doesn't mind about Global Warming, Climate Change or if  Amazonia is burning. He's also a negationist of the Covid pandemic. He’s a big problem!",[],2021-11-26 17:40:35
57,Mel,PDX,"A Frank Capra film, the fourth in a series with Bell Labs, seemed to know what was coming re: global warming. Released on broadcast TV February, 1958, and shown in American classrooms. https://t.co/ktz7u2FTLb",[],2021-11-26 17:31:56
58,James McCain,"Shreveport, LA",@washingtonpost What crap. Anthropogenic Global Warming is a fraud calling it Climate Change does not change that fact.,[],2021-11-26 17:31:02
59,TRF Climate,London,"🟢 At the end of the #COP26 summit this month, many said the hard work to tackle global warming is just beginning.

🛍 Brands must adopt a “‘whole organisation' approach to climate change” according to Hannah Nascimento of @Given_Agency.👇

https://t.co/FNWJYERvuF","[{'text': 'COP26', 'indices': [20, 26]}]",2021-11-26 17:07:01
60,DekoRobo,o/s SHIP INN..waiting..waiting,"@ChartsClimate @FriendsOScience Foisting FF bans on poorest regions is all part of the agenda.

https://t.co/4cQWo5FTIP",[],2021-11-26 16:59:12
61,John L. Grafft,365 million Acres,@RegVickers @GDThor1 @ldog562 @impinkestgirl @MusicIsTheory @MFrance923 @kristyshl @zazzybritches @62WalterP @BonJS0370 @gojoe_joe @MarciaBunney @keriRN @patricia_millin @moriartydg @BlueSwede2000 @Saline_tRick @GreatTammie @politiolyc @poppij @CunningSq16 @KeepsAtIt @whosyourdandy22 @sandibaise1 @bobbiejaneV @McGeezer70 @StaryStaryNlght @Cha51brolll19 @MairScott3 @julyriver @Ldogls @BernadetteNTF @HondoResists @CirclesSpinning @CartistNy @blues679 @TilghmanChris @RockyMtnView @Ezim79 @doug_in_nc @TJNugent520 @OklahomaPatrio1 @yoly54128913 @bettypge69 @sugar1420 @BlueWave_resist Good copy on that my brother I was trying to be diplomatic and not tell everybody how lousy were doing from that perspective and we’re not even getting into climate change climate shifting and global warming and the ever present human footprint.👍🙏👀🧢☕️☕️🧢,[],2021-11-26 16:55:31
62,Old Windbag,,@Royalacresrod @IanDJbrown2 @MartinBrampton @omnisophos @pukeuprainbows @Brereton_N @sueytonius @PaulAtBillabong @Zane1968 @robhon_ @Nullius_ @DrDMurray1 @deirdreritchi10 @Anna98831 @markp1950 @Barrtecforever @cieloyla @lawyer4laws @Akito__Tenkawa @182_DuncH @GeraldKutney @DarkroomOnline @Mike__Oliver @ChartsClimate @flatheadcoupe1 @HL10PM @deedeesmiles4u @WebKarls @Roark_Architect @CelovskyDanny @newglobesun1 @Nickpeterliz @Robert76907841 @WesternFreedom @BailFund_Brawl @Richard08653290 If you are thinking about solutions now does that mean you accept that we are causing global warming/climate change and we need to solve it before the climate gets too dangerous ?,[],2021-11-26 16:41:01
63,Casey M Cummings,"Tuscarawas County,Eastern Ohio",Global Warming/ Climate Change needs the Globe . https://t.co/IwcwKCwfVD,[],2021-11-26 16:37:57
64,Dr. Q,The Sequestrium,"@Geofutures With global warming / climate change / sea level rise ramping up over the next 50 years, one can only imagine what the pressure will be on countries less impacted. You think it's difficult coming to agreement on what to do about cutting emissions...😞",[],2021-11-26 16:32:43
65,rylie,"Jacksonville Beach, FL","“The odds of current warming occurring without anthropogenic greenhouse gas emissions are less than 1 in 100,000.”

We are the problem, so we must be the change. 
#ClimateCrisis #ClimateActionNow #Saveourplanet 

https://t.co/V8mI8MS0TR","[{'text': 'ClimateCrisis', 'indices': [163, 177]}, {'text': 'ClimateActionNow', 'indices': [178, 195]}, {'text': 'Saveourplanet', 'indices': [196, 210]}]",2021-11-26 16:32:25
66,Oluwatoki Ayodimeji,Wakanda,"We're lost in the race to finding lasting solutions to global warming effect and climate change. This is it, we are not doing enough!",[],2021-11-26 16:30:20
67,➕➕➕TrumpWasRight👁Save America💔 Jesus,USA aRepublic if WeCanKeepHer ,"@blueskies6123 Exactly! I've been around long enough to remember we're not supposed to be here tens times over by now. Hide under desk, Global Warming, overpopulation, Coming Ice Age, hole in ozone, Y2K, Climate Change &amp; on &amp; on &amp; on &amp; on . . .",[],2021-11-26 16:28:34
68,Martin Brampton,"N Yorks, UK","@ianbrow97534170 @BrianTu85458331 @Paul204731131 @omnisophos @pukeuprainbows @Brereton_N @sueytonius @Royalacresrod @johnson_wrjohn1 @PaulAtBillabong @Zane1968 @robhon_ @Nullius_ @DrDMurray1 @deirdreritchi10 @Anna98831 @markp1950 @Barrtecforever @JimTheSSR @cieloyla @RHMcK1 @mike_maric @lawyer4laws @Akito__Tenkawa @182_DuncH @GeraldKutney @DarkroomOnline @Mike__Oliver @ChartsClimate @flatheadcoupe1 @HL10PM @deedeesmiles4u @WebKarls @Roark_Architect @CelovskyDanny @newglobesun1 @Nickpeterliz @Robert76907841 @WesternFreedom @BailFund_Brawl @Richard08653290 Global warming, not Vostok warming. I gave you a link to a detailed analysis of climate change in Antarctica. But you only want to cherry pick. Typical.",[],2021-11-26 16:27:43
69,ABC News Live,,"IT'S NOT TOO LATE: @Ginger_Zee reports from Iceland, where the world’s largest carbon capture machine is recirculating carbon dioxide to try to control global warming. https://t.co/LO1Bi0TSV5 https://t.co/AmwHzxX6hb",[],2021-11-26 16:25:00
70,tom staniforth,"Sheffield, England","@osymandus @PoliticsForAlI @thetimes Climate change is caused by greenhouse gases and other cycles which has existed since the dawn of the planet, global warming which is what ur probably referring to is caused by greenhouse gases and the country at highest responsible is china. Which isnt capitalist",[],2021-11-26 16:18:53
71,EcoPing.earth,"Totnes, UK","@MarkStockley Since reading @MarkStockley tweet, found some interesting things to read: 
- https://t.co/RT9GAUGKVe 
-https://t.co/xCYEykEJs0 
- https://t.co/e4wtUytuk5 
- https://t.co/Bhu6wkjUkv
- https://t.co/t7C9CsD7Xc 

The last link has a brilliant food calculator which is worth trying.",[],2021-11-26 16:17:46
72,HarryVernon,USA🇺🇸,"💥BQQQQQQQM💥 EXPOSED - THERE IS NO GLOBAL WARMING - Man made climate change is yet another depopulation and control hoax! - THOUGHTS? 🍿🇺🇸 SHARE!!

@JFK_Q17 https://t.co/SMIXqe4Q57",[],2021-11-26 16:10:31
73,ExposeTheMedia.com,USA,"Democrats first said the planet was cooling. Then they said it was warming.  Now they say Climate Change. It's actually called Weather.

Democrate LIE. Climate Change is a way for Democrats &amp; other world Communists to bring US into their Great Reset which is Global Communism.",[],2021-11-26 16:03:00
74,weofallhumanity,,"Exxon lobbyist suggests climate change not 'catastrophic, inevitable' risk in undercover recording https://t.co/tY1R4YriiZ via @Yahoo Exxon has spent decades intentionally lying to, deceiving and trying to confuse the general population on their product's role in global warming.",[],2021-11-26 15:54:36
75,J.A. Lustick,"Roswell, NM",Just like “global warming.” Nature is in control and nothing humans do will stop nature from doing whatever nature does. This is why climate change and public health science should not be political issues. https://t.co/90dIULYrSQ,[],2021-11-26 15:44:52
76,Lady bug,"New Delhi, India","@ndtv Consequences of climate change is no joke... As a responsible human beings, we should take some serious actions regarding climate change.. Global warming... Environmental preservation. ..",[],2021-11-26 15:35:35
77,Honey Clover Group,"Austin, TX","Climate change is impacting many aspects of our lives, including coffee. Global warming is changing the aroma and quality of coffee beans. Find out how sun and heat affect coffee here: #climatechange #globalwarming https://t.co/GpZJTi4zM4","[{'text': 'climatechange', 'indices': [185, 199]}, {'text': 'globalwarming', 'indices': [200, 214]}]",2021-11-26 15:31:45
78,ManicBeancounter,,"@womenscs This is an interesting piece of evidence. There are some ""issues"" with the evidence that past Extinction events are mostly caused by global warming events. 
1. A blog post on a very partisan site
2. This is a ""basic"" answer to the question ""What does past climate change ....",[],2021-11-26 15:19:13
79,Red Tanager 🌊,"Blue Arizona, USA","@MollyJongFast Let's not forget that it was conservatives who advocated the use of ""climate change"" to deflect from the then-ubiquitous term ""global warming"". - https://t.co/YjZtzTdOkP",[],2021-11-26 15:17:04
80,Bob Chadford,All Over America,@MollyJongFast I remember when it was called “global warming” and they decided to change it to “climate change”.  Now it’s “extreme weather”.  Unfortunately “extreme weather” will one day be knows as “the good old days” and we will move on to “this is way beyond fucked”.,[],2021-11-26 15:09:11
81,Phil,Thanet,"@andakalnins @AndyLan38171657 @InsulateLove Global warming is a part of climate change, did you ever think maybe you have trouble understand this stuff because you're so horrendously misinformed?",[],2021-11-26 15:07:46
82,The American Geographical Society,"Brooklyn Heights, New York","""A University of Arizona-led effort to reconstruct Earth’s climate since the last ice age, about 24,000 years ago, highlights the main drivers of climate change and how far out of bounds human activity has pushed the climate system."" 

Read the rest here: https://t.co/L43r6GxTSD",[],2021-11-26 15:02:38
83,STIGMABASE | EDU,Worldwide,Fighting stigma : Climate change is driving albatrosses to divorce — Metro News: A recent study found that divorce rates in albatross couples were up due to warmer seas as a consequence of global warming. https://t.co/9N84eecJC4,[],2021-11-26 14:44:04
84,Shout_Loud 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺🌍🕊️#WearAMask😷,Everywhere,"@NickInEngland @MrMatthewTodd 'Climate change' was adopted by scientists because it's a more accurate reflection of what will happen to the climate. Nothing to do with politics. 'Global warming' is potentially misleading.
https://t.co/DqdVmKc7he",[],2021-11-26 14:37:56
85,Nick Ellis,In Exile,"@MrMatthewTodd Climate change itself is a phrase developed by the right to make it sound less alarming that global warming, and to imply that it's a thing that just kinda happens.",[],2021-11-26 14:28:27
86,KIM ❤️,Central Texas,"@AlixG_2 In the '70s, they talked about ""global cooling"" and another ice age, but they were proved wrong. After that they talked about ""global warming"", but they were proved wrong. Now they just say ""climate change"", so they can go either way with it, depending on the weather.",[],2021-11-26 14:27:38
87,UAEConsulate-karachi,karachi,"Mr. Bakheet Al Remeithi Counselor at the Consulate General of #UAE in #Karachi, officially inaugurated the showroom for eco-friendly electric bikes by #Jolta_Electric to save future generations from environmental pollution and negative effects of climate change and global warming https://t.co/2q7m6jesuO","[{'text': 'UAE', 'indices': [62, 66]}, {'text': 'Karachi', 'indices': [70, 78]}, {'text': 'Jolta_Electric', 'indices': [151, 166]}]",2021-11-26 14:25:50
88,Robbie Vitrano,New Orleans/Boulder,"#Food production is the largest cause of global environmental change…#Agriculture is responsible for up to 30% of global greenhouse-gas emissions, 70% of freshwater use.
To mitigate the effects of global warming, we need to change ag… https://t.co/dgZslxOirb","[{'text': 'Food', 'indices': [0, 5]}, {'text': 'Agriculture', 'indices': [69, 81]}]",2021-11-26 14:25:46
89,Rob McElheran,Vanier Ontario Canada.,"@sunlorrie It's even worse when cities jump on the Climate Change/ Global Warming/ Global Cooling.
If a country like Canada won't have that big of an impact, how much less would a city?
Stupid.",[],2021-11-26 14:25:41
90,Alan Quinn,The United Kingdom,"@DavidBellamyUK False positives. Mustn't let the 'pandemic' fade away...not until they have everyone scared of new variants and 'climate change'.
What happened to global warming BTW, has it gone away now that the planet has been cooling?",[],2021-11-26 14:18:54
91,Gary White,,"So not about global warming, it’s about capitalism. Capitalism that will pay for climate change. The poor workers are the organised trade unions under a different banner. So again they ruin the majority of lives. https://t.co/LgeqbgyGjQ",[],2021-11-26 14:10:35
92,Florin,Europe,@mrandersoninneo @mattwridley I don't share Matt's optimism about the rate of global warming because I think the situation is more critical if you look at other statistics. But it's good that Matt is not the climate change denialist the zoonoti would want us to believe he was. 🙂,[],2021-11-26 14:05:42
93,The Recipe To Grow,Globe,"rt @wef 
Global ice loss is catching up to worst-case scenario predictions https://t.co/YZvJFFAPEU #ClimateChange #environment https://t.co/Z2JPXTeWZh","[{'text': 'ClimateChange', 'indices': [99, 113]}, {'text': 'environment', 'indices': [114, 126]}]",2021-11-26 14:05:06
94,Richard weisinger,,"As I ponder the state of the world, I have come to the conclusion that we are doomed to live with recycled lefty scams: Global warming, climate change; deadly disease and vax to steal an election and make billions$,now, those grow tiresome, enter ALIENS FROM OUTER SPACE!!",[],2021-11-26 13:54:25
95,matthew sidford,"Gloucester, UK","@KateBeavan @twose_brian Also: there is no 'the answer' to climate change. Getting rid of fossil fuels asap it the biggest need, but there are many other actions also needed to counter the huge threat of global warming. A major meat/dairy reduction can be part of that.",[],2021-11-26 13:44:05
96,Tim Guinee 🇺🇸,,.@SenBobCasey .@SenToomey Isn't it time to #ActOnClimate? #BuildBackBetter RT https://t.co/wUBoHTj4Ve,"[{'text': 'ActOnClimate', 'indices': [43, 56]}, {'text': 'BuildBackBetter', 'indices': [58, 74]}]",2021-11-26 13:13:20
97,RNIB Connect Radio,UK,"Read On #OnAirNow or Podcast👇

Environmentalist @mark_lynas gives us Our Final Warning about global warming, @SalleyVickers chats new novel The Gardener, books about environment in @RNIBLibrary, &amp; sustainable life with drummer-turned-farmer Chris Stewart.
https://t.co/Z5homzEQ3T","[{'text': 'OnAirNow', 'indices': [8, 17]}]",2021-11-26 13:02:00
98,sin 🇧🇷,Clouds,Global warming/climate change kicking our ass,[],2021-11-26 13:01:22
99,John Rhys,London and West Wales,"@AaronBastani On climate change it may have escaped your notice but Blair was one of the first world leaders to take it seriously, 25 years ago, and made the UK the first country to put an emissions target in law, in 2008.
https://t.co/kfUzY1fTQZ",[],2021-11-26 13:00:09
100,Danish Khan,,"“The political and economic system we live in does not produce climate change by accident but by design, rewarding big polluters and resource extractors with superprofits.” 

https://t.co/YucTgkhYxY",[],2021-11-26 12:55:43
101,EcologyAfricaFoundation(E.A.F),African Continent ,Climate change – This is what 3°C of global warming looks like https://t.co/WXqYcXcB76,[],2021-11-26 12:52:35
102,EU-CORD,Brussels,We recognise that countries least responsible for global warming - the poorest nations – will be most affected by its consequences. Our role is to draw attention to the impacts that climate change has amongst the varied communities where we are engaged. https://t.co/SDrvWpiiQ7,[],2021-11-26 12:47:02
103,George West,❤️🌍❤️,"@fitzwis @RWMaloneMD @GBNEWS @TheNo1Waffler Vax causes global warming and climate change? 🤡
https://t.co/bEfKDWVsoM https://t.co/bsjGQqfNxL",[],2021-11-26 12:37:38
