,username,location,text,hashtags,tweet_date
10,Greta Thunberg News,The Planet,"Exxon says it backs scientific consensus on climate change, but one executive cast doubts
https://t.co/E4qxvOOYeA",[],2021-11-24 22:36:01
11,Dzeiks,"Ontario, Canada","@DFisman I prefer climate disruption due to global warming.  Every time we call it “climate change,” it’s a victory for the oil spin doctors.  It’s like calling covid “change of breathing.”",[],2021-11-24 22:35:44
12,Dan Morenoff,,"He wants to “supplement, not replace” the oil and gas industry? Actually, no: https://t.co/e4PWErDiCw. “Net-zero emissions” means replacing. Or more accurately destroying without regard to whether there’s a replacement. We’re not stupid and we haven’t forgotten. https://t.co/LdWaJYvNOI",[],2021-11-24 22:35:32
13,Robert M,"Huntington Beach, CA","@JVR926 Yes it was originally called global warming by Al Gore who with his friends wanted to profit from so called carbon credits, when the earth cooled down and we ended up not all being dead and under water they changed the name of regular seasonal weather to ""Climate Change"" instead.",[],2021-11-24 22:30:03
14,Hookpod,,"Albatross ‘divorce’ rates up due to climate change, study finds https://t.co/l4ywFU3hvc",[],2021-11-24 22:27:11
15,sixtailedfox 💎,"Nairobi, Kenya","One thing I've learned is that they don't care about what's next. They'll be retired or dead and so it will be someone else's problem to fix. This also applies to the issues of global warming and climate change, fossil fuels, politics and govt. policies...etc https://t.co/h4FBwIQDnH",[],2021-11-24 22:20:13
16,Tori Wells,,I work for an energy efficiency company and because of that sustainability within climate change is a bit deal. Global warming is a big deal and people don’t realize we’re at odd with climate and have been for years now specifically based on how we have treated this planet.,[],2021-11-24 22:13:32
17,Matt Black,,@POTUS That's because nobody want to be injected with covid-19. The idea of injection is to kill the population to slow down the use of carbon which then would slow down the global pandemic of global warming and climate change,[],2021-11-24 21:57:16
18,David Ritter,"Sydney, New South Wales","Gas could be as harmful for the climate as coal. Fugitive emissions, occurring during the extraction, processing and transport of gas, are a huge source of dangerous emissions and have been notoriously under-represented. 
https://t.co/Tkwh9zCw7k",[],2021-11-24 21:51:27
19,Bob Hill,,"#Climatechange is chagin the rain parameters, Mankind is pressing and change the water cicle, the change of water cicle is changing #climate https://t.co/T7em7kv9pU
Satellite data reveals impact of warming on global water cycle https://t.co/bTig4LyjlM","[{'text': 'Climatechange', 'indices': [0, 14]}, {'text': 'climate', 'indices': [132, 140]}]",2021-11-24 21:37:35
20,Just Collapse,,"What civilisation is Mann referring to that can survive 3C of warming? Ignoring tipping points, non-linear feedback, biological and ecological system failures, this is the same magical thinking that allows the ecocidal behemoth to continue. #NewDenial https://t.co/e6qesbxCY7 https://t.co/5aOhfOzRT2","[{'text': 'NewDenial', 'indices': [241, 251]}]",2021-11-24 21:37:15
21,Sudhir ,ब्रह्माण्ड,@ParveenKaswan I notice global warming and climate change 🥺,[],2021-11-24 21:36:37
22,sohilgupta.eth,"Delhi, India","@rrhoover 1. Try solving ageing problem and extend human longevity (cure cancer, reduce brain degeneration, etc)
2. Catalyze AI development to Superintelligence, and send colonizing missions on other planets to avoid existential risk
3. Solving for Global warming/Climate Change",[],2021-11-24 21:32:51
23,Just Collapse,,@kali0x2a He also said this https://t.co/e6qesbxCY7 https://t.co/W3SfKpF5wX,[],2021-11-24 21:22:38
24,Just Collapse,,@Valerie4London And the lies just keep getting bigger #NewDenial https://t.co/e6qesbxCY7 https://t.co/PfcRtaRslg,"[{'text': 'NewDenial', 'indices': [54, 64]}]",2021-11-24 21:18:43
25,Just Collapse,,"@ClimateBen Don't worry, according to one expert, everything is going to be just peachy (deep sarcasm). https://t.co/e6qesbxCY7 https://t.co/hW2LLe0rOt",[],2021-11-24 21:16:18
26,Virginia,,"Anyone notice there's no talk about gun control during the Rittenhouse case?  No talk of climate change/global warming as the price of gas rises--like, maybe, use less gas since the price is so high? Instead, we look for the next fix and not ways to conserve.",[],2021-11-24 21:08:58
27,FixthePeg,,@BikeWinnipeg No one should feel down about cop26 because there is no such thing as climate change. They used to call it Global warming until we had the coldest winter on record in 2014. So they changed the name to climate change. It is an excuse for government to tax more.,[],2021-11-24 21:08:44
28,Climate Connections,U.S.,"When global warming comes up over the holidays, @huprice suggests taking time to talk about both the negatives — and the positives. 
https://t.co/662z0bO01L https://t.co/SZCX4U3aun",[],2021-11-24 21:00:45
29,BM,"New Haven, CT","Exxon says it backs scientific consensus on climate change, but one executive cast doubts - The Washington Post https://t.co/VBXzC5jwbd",[],2021-11-24 20:58:37
30,Broxbourne Green Party,,"Of the 100 sampled only six felt less than 'very/somewhat concerned' about climate change. Many older residents expressed worry about the impact of runaway global warming on our grandchildren's generation.
(2)",[],2021-11-24 20:56:57
31,@drtimball #climate,Columnist-Landowners Magazine,"Shell halves Singapore refining capacity, to change chemical feedstock 
Dr Tim Ball - Historical Climatologist
Book: ‘The Deliberate Corruption of Climate Science’
Book: ‘Human Caused Global Warming, the Biggest Deception in History’
https://t.co/Y2cNzxOFLX",[],2021-11-24 20:50:10
32,Peter Clack,"New South Wales, Australia","Global warming and climate change did not happen, despite the fear campaign. Deception by a cult of activists is the real threat to our modern world, built on fossil fuel. Replacing access to such brilliant energy sources without a replacement is a crime. 
https://t.co/PRyWyGbGsF",[],2021-11-24 20:47:58
33,ed,,"@logopatt Oh bud I can think of at least another 3 or 4 more massive lies just in my lifetime.  Surely though, the science on global warming/climate change or whatever garbage it's called now is bang on.  Especially since the same science has noticed warming patterns on other planets.",[],2021-11-24 20:45:38
34,Accountable.US,,"Climate change has already caused catastrophe, and companies like @ExxonMobil are largely to blame for its worsening effects.  https://t.co/2bgcnsTERo",[],2021-11-24 20:42:00
35,Don adam Mohamed,,@ntvkenya Global warming and climate change is a big hoax. It's a multibillion project.,[],2021-11-24 20:40:57
36,Tom Covenent,"England, United Kingdom",@GBullstein If only you were joking! Clever little modification - from global warming to 'climate change' as we noticed it wasn't getting warmer and the ice caps didn't get Al Gore's memo!,[],2021-11-24 20:36:27
37,PÓB,"Dún Geimhin, Doire, Éire. ",@Reuters The term you are after is global warming. The term 'climate change' is directly traceable back to corporate PR machines who spawned it as a linguistic sleight of hand designed to mislead the public as to the frightening effects corporate polluters are having on our planet.,[],2021-11-24 20:33:54
38,The Nation,,"""In this sweeping imperial transition, global warming will undoubtedly be the catalyst for a witch’s brew of change guaranteed to erode both America’s world system and its once unchallenged hegemony."" https://t.co/NXUcICBgFE",[],2021-11-24 20:30:02
39,Jessica McKenzie,"Brooklyn, NY","article, BUT after reading @JohnMoralesNBC6 in @BulletinAtomic I understand storms, especially those exacerbated by climate change, to be far more fraught (read: deadly) for migratory birds... 2/2 https://t.co/4vUU6MaXUV",[],2021-11-24 20:21:54
40,James Stephens,"Greensboro, NC",@seanhannity @GovRonDeSantis I thought Nancy and the climate change crowd was so concerned about global warming with rising sea levels. Notice that most of the elite own homes on the coast.,[],2021-11-24 20:20:33
41,Bick Whitener,"Harvest, AL","@TimRunsHisMouth @mrddmia And on the ""beach"" so global warming/climate change can ruin it in ""10 years"".",[],2021-11-24 20:09:52
42,Lynneplee,"Tennessee, USA",See folks!  There's no such thing as Climate Change aka Global Warming. Just the crooks trying to take more money. Don't they have enough of our hard earned money?? https://t.co/KrILUafS1a,[],2021-11-24 20:07:54
43,de_carbonizer,,"Exxon says it backs scientific consensus on climate change, but one executive cast doubts - The Washington Post Exxon says it backs scientific consensus on climate change https://t.co/reES196JMi",[],2021-11-24 20:06:05
44,Dan,,"@ShellStationsUS Global Warming
Climate Change
All in a snack size package",[],2021-11-24 19:59:10
45,Anne Martin,,"Stop climate change jewelry, Global warming, political statement necklace, environmentalist, jewellery, ecology pendant, science is real, Q1 https://t.co/s0e6ni2J29 #TMTinsta #EtsyTeamUnity #PoliticalJewellery https://t.co/yHlwUyqako","[{'text': 'TMTinsta', 'indices': [165, 174]}, {'text': 'EtsyTeamUnity', 'indices': [175, 189]}, {'text': 'PoliticalJewellery', 'indices': [190, 209]}]",2021-11-24 19:58:52
46,Peter Grant,"Inverness, Scotland","@TheTwatRises They used to call it ""Global Warming"", but ""Climate Change"" suits the narrative better.",[],2021-11-24 19:54:54
47,Canadian Prayer Warrior,Canada,"Climate change and global warming is such BS!!!! Obama bought a mansion in Myrtle Beach, Pelosi bought one on the coast in Florida,… they are not worried about rising sea levels!!!!!",[],2021-11-24 19:52:50
48,Jan 🌍🇪🇺🇭🇺 build noah's ark,Budapest,The context of actual global warming based on climate change. #COP26 #ClimateCrisis #exponential #GlobalWarming https://t.co/bHDjf751uw,"[{'text': 'COP26', 'indices': [62, 68]}, {'text': 'ClimateCrisis', 'indices': [69, 83]}, {'text': 'exponential', 'indices': [84, 96]}, {'text': 'GlobalWarming', 'indices': [97, 111]}]",2021-11-24 19:51:47
49,Charlie Richmond,Vancouver & London,"Exxon says it backs scientific consensus on climate change, but one executive cast doubts - The Washington Post https://t.co/K3nlElwQxX",[],2021-11-24 19:50:38
50,Ed-N-Burra 🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧,"Edinburgh, Scotland","@Iain_L It’s all down to Global Warming, sorry Climate Change, sorry Winter weather.",[],2021-11-24 19:37:55
51,ted thorne,Australia,"and at the next ~~global warming~~ Cop27 ""climate change"" BS conference
Rubber Bands! https://t.co/TbMuX9vPU0",[],2021-11-24 19:33:32
52,Carl Hittie,"Cape Coral, FL","I see that Pelosi is purchasing a $25,000,000 oceanfront property in Florida 
Isn’t this Dem POS (i repeat myself) afraid of rising ocean levels caused by global warming 
Obviously not
Climate change is just another hoax presented by the Dems",[],2021-11-24 19:23:27
53,D. Sengupta,,"There’s more concrete evidence about destruction of marine ecosystem due to excessive toxic industrial pollution (dumps) than there is for “global warming and climate change” independent of ocean. 

One more cover up? #COP26 

@21stCenturyWire 

https://t.co/EzGwXDbBFX","[{'text': 'COP26', 'indices': [218, 224]}]",2021-11-24 19:17:30
54,🥭,Here,"If this doesn’t swing your opinion of the devastating effects of climate change, nothing will. I imagine it takes a lot for an albatross to pack up and leave 

Albatross ‘divorce’ rates up due to climate change, study finds https://t.co/RK4Vv1sC1K",[],2021-11-24 19:12:04
55,Paul Jimerson,"Santa Cruz, California",What are the 8 most dangerous things most people do not understand about global warming and climate change? https://t.co/V7kCCddhF4 via @JobOneForHuman1,[],2021-11-24 19:09:29
56,Hunter Cutting,,"@HenrikHindby @kbo1978 Further arguing that there is no clear global warming impact on floods b/c ""some places they are increasing others decreasing"" is classic denier trick of summing and cancelling opposing trends in different regions, both driven by climate change, to argue no global influence.",[],2021-11-24 19:07:08
57,Dystopia Diver,,@madeofmistak3 10/10 - Global Warming / Climate Change edition,[],2021-11-24 19:03:08
58,Morgan Mutters,"Georgia, USA",@Nerdrotics @JayneTheory The chances of us dying by a giant space rock (detected or undetected) is much higher than global warming/climate change killing us. Worry about the climate after the giant space rock kicks up enough dirt that could block sunlight for a few millennia.,[],2021-11-24 19:02:37
59,Extinction Rebellion Vic,"Victoria, Australia","Great work rebels! We need to move out of fossil fuels now to stand the best chance of keeping global warming below 1.5 degrees #ClimateEmergency #ActNow
https://t.co/SCngylAC4F","[{'text': 'ClimateEmergency', 'indices': [128, 145]}, {'text': 'ActNow', 'indices': [146, 153]}]",2021-11-24 19:00:30
60,Josh Fosdick,"Oklahoma, USA",Weird! A bank gives a loan for $25mil for water front property that's going to flood due to global warming to @SpeakerPelosi who is a huge proponent of climate change causing rising sea levels. Probably building a wall to keep the water out! #DemocratHipocracy #ClimateChangeHoax https://t.co/bsLWb7AXZF,"[{'text': 'DemocratHipocracy', 'indices': [242, 260]}, {'text': 'ClimateChangeHoax', 'indices': [261, 279]}]",2021-11-24 18:58:00
61,SachBonerTime,,@julie_kelly2 Soon Pelosi will retire to Florida since she is buying a $25 million home along the coast.  She won't have to pay those high taxes she enacted in California. Climate change and global warming thrown out the door.,[],2021-11-24 18:56:45
62,CarbonFree,,"52% of Americans say they've experienced effects of global warming, poll finds https://t.co/o2u77JNumC",[],2021-11-24 18:51:40
63,Preacher Killjoy,,@rholftroy @gatewaypundit Global warming is a real estate conspiracy to keep water front properties cheap until the ultra wealthy Liberals finish scooping it up.  Then climate change will morph into a coming ice age scare like it was in the 70's.,[],2021-11-24 18:44:03
64,Pgh Expat,"Ann Arbor, MI","@GaryKaltbaum If this story is true, do you plan a welcome package for your new neighbor?  Isn’t Pelosi worried about rising sea levels gobbling up her $$$ oceanfront mansion due to (pick one: global cooling, global warming, climate change)? https://t.co/sx8EfzrMHR",[],2021-11-24 18:43:54
65,Sam Gatige Gathari,,@AaravSeth_ @GretaThunberg @vanessa_vash @KaoHua3 @ExtinctionR @FridayForFuture @UNFCCC @parents4future @WeDontHaveTime @xr_germany @fazeelamubarak @chruggeriTg2 @ErikSolheim @endelstamberg @krosenlund_com @KabilaObbo @SteveMisatih @Martelocris @KambojAnanya @ImandiU Very informative crusial news indeed.. thanks alot and keep it up 👍 young man.. and energetic.. you're definitely demonstrating that the issue of global warming and climate change is a humanity challenge..#saveplanetearth,"[{'text': 'saveplanetearth', 'indices': [473, 489]}]",2021-11-24 18:43:29
66,Drunk Justin Trudeau,Buckingham Palace Ottawa,"No such thing as disasters anymore everything is climate change disaster. PS: What happened to the term global warming?
Climate change disaster — or just a disaster? https://t.co/alW1WgnjT8 via @RebelNewsOnline",[],2021-11-24 18:32:04
67,Ryan | Forecast,"Atlanta, GA","The current null hypothesis is that climate change caused the lack of global major hurricanes e.g. there would have been more except for warming seas, especially in 2021 w/record hot temperatures.  

This is actually the most correct hypothesis formulation to be proven/disproven.",[],2021-11-24 18:28:59
68,HealthyLife.Net,"Los Angeles, CA","Oh NO! Not the Albatross! Albatross ‘divorce’ rates up due to climate change, https://t.co/v5ujvTu88c",[],2021-11-24 18:28:37
69,liam mcglinchey,Ireland,"@EricWil06256732 @Climatehope2 @JohnDublin10 @FillmoreWhite @Mark_A_Lunn @B_Bolshevik100 @BridgetHolmstro @S_D_Mannix @PaulAtBillabong @BrknMan @Willard1951 @Stephen90045069 @TWTThisIsNow @Ceist8 @Data79504085 @FChecker76 @AristotleMrs @ncdave4life @dan613 @ammocrypta @NonlinearDarren @flyonthewall182 @GregTruman4 @Jaisans @GregCoo85844909 @25_cycle @don85375 @ZSRenn @1tsakeeper @LizHersch1 @KCTaz @JustThi30117912 @gregchoat @Anvndarnamn5 @NickMcGinley1 @RobMeekel @cieloyla @EthonRaptor @BradPKeyes @JSegor @jwickers @0Sundance @PeterMayfitz @omahas @TonyBoloni8 @TheDisproof @DanCady @Keeper_86 @Jamz129 @CallMeBlaise1 Climate change DOES force animals to migrate.
Animals and plants are migrating polewards, and to higher altitudes- a result of a warming world.
The role of CO2 in global warning was identified over 100 years ago.",[],2021-11-24 18:24:39
70,Esther ten Wolthuis,,"Albatross ‘divorce’ rates up due to climate change, study finds https://t.co/qrYUJBohX3",[],2021-11-24 18:22:08
71,liam mcglinchey,Ireland,"@EricWil06256732 @Climatehope2 @JohnDublin10 @FillmoreWhite @Mark_A_Lunn @B_Bolshevik100 @BridgetHolmstro @S_D_Mannix @PaulAtBillabong @BrknMan @Willard1951 @Stephen90045069 @TWTThisIsNow @Ceist8 @Data79504085 @FChecker76 @AristotleMrs @ncdave4life @dan613 @ammocrypta @NonlinearDarren @flyonthewall182 @GregTruman4 @Jaisans @GregCoo85844909 @25_cycle @don85375 @ZSRenn @1tsakeeper @LizHersch1 @KCTaz @JustThi30117912 @gregchoat @Anvndarnamn5 @NickMcGinley1 @RobMeekel @cieloyla @EthonRaptor @BradPKeyes @JSegor @jwickers @0Sundance @PeterMayfitz @omahas @TonyBoloni8 @TheDisproof @DanCady @Keeper_86 @Jamz129 @CallMeBlaise1 Animals migrate because the climate is changing.
Global warming causes climate change. 
CO2 causes global warming.",[],2021-11-24 18:14:26
72,Four Horseman,,"@alvinrio_1501 Those hypocrites are already talking about global warming, climate change.. They don't give a shit regarding this madness",[],2021-11-24 18:07:08
73,AskHistorians,,"Did the Soviet Union know about Global Warming? /u/evil_deed_blues offers a fascinating answer that explores the many and varied thoughts within the #SovietUnion on environmentalism and climate change. #Twitterstorians #envhist
https://t.co/CfQwNCp76c","[{'text': 'SovietUnion', 'indices': [149, 161]}, {'text': 'Twitterstorians', 'indices': [202, 218]}, {'text': 'envhist', 'indices': [219, 227]}]",2021-11-24 18:04:00
74,Sam Gatige Gathari,,"@TheStarKenya That's wonderful Mr President.. because the effects of global warming and climate change are already in our midst, causing a lot of havoc, drought, flood's etc..#saveplaneyearth","[{'text': 'saveplaneyearth', 'indices': [175, 191]}]",2021-11-24 18:00:49
75,Wildebeest,,"@itsDanBull @PrisonPlanet It was a different argument a few years ago, ""global warming"". Then we had some cooler weather and it changed to ""climate change"".  No one cared so now the story is, ""if we don't stop using fossil fuels by 2050, we're all going to die!"".  

Shut up already!  IPCC report is a joke",[],2021-11-24 17:58:09
76,"Tom Gillispie, LET'S KEEP NATURE LOOKING NATURAL","Rural Hall, NC","#climate Links to CLIMATE CHANGE AND SHRINKING COASTLINES  #global_warming #shrinking_coastlines #climate_science #climate_change #MammothSteppe #rising_sea_levels #preserve_nature
https://t.co/iWBKUb8cKA

LET'S KEEP NATURE LOOKING NATURAL https://t.co/Pi3HtQ1LsX","[{'text': 'climate', 'indices': [0, 8]}, {'text': 'global_warming', 'indices': [59, 74]}, {'text': 'shrinking_coastlines', 'indices': [75, 96]}, {'text': 'climate_science', 'indices': [97, 113]}, {'text': 'climate_change', 'indices': [114, 129]}, {'text': 'MammothSteppe', 'indices': [130, 144]}, {'text': 'rising_sea_levels', 'indices': [145, 163]}, {'text': 'preserve_nature', 'indices': [164, 180]}]",2021-11-24 17:46:56
77,jo 🤖,"Lagos, Nigeria",I can assure you nobody rejects the claim of global warming and climate change. https://t.co/56nNpqth71,[],2021-11-24 17:46:00
78,michelle,"Ocean Springs, MS",@JVR926 Yes global warming changed to climate change. Close but climate change wins,[],2021-11-24 17:43:53
79,Sathiaseelan Nagadasan,,"All-India-Energy-Generation--Energy-Coservaton-23.11.2021#cop26,#climate change,#glasgow,#global warming,#cop26goal,#emmissions,#coal,#energy,#conservation,#1-1-1 #manthra https://t.co/3mfQjebphd","[{'text': 'climate', 'indices': [64, 72]}, {'text': 'glasgow', 'indices': [80, 88]}, {'text': 'global', 'indices': [89, 96]}, {'text': 'cop26goal', 'indices': [105, 115]}, {'text': 'emmissions', 'indices': [116, 127]}, {'text': 'coal', 'indices': [128, 133]}, {'text': 'energy', 'indices': [134, 141]}, {'text': 'conservation', 'indices': [142, 155]}, {'text': 'manthra', 'indices': [163, 171]}]",2021-11-24 17:36:33
80,Felix Knight,"North Bend, WA","Maybe a good conversation to have at Thanksgiving this year- not shaming or battling our loved ones for eating meat, but choosing plant-based alts ourselves and answering questions about the impact of livestock on global warming (1/2):

https://t.co/euMEWh8ivu",[],2021-11-24 17:36:30
81,Sathiaseelan Nagadasan,,"All-India-Energy-Generation--Energy-Coservaton-23.11.2021#cop26,#climate change,#glasgow,#global warming,#cop26goal,#emmissions,#coal,#energy,#conservation,#1-1-1 #manthra https://t.co/Ao3520w2bs","[{'text': 'climate', 'indices': [64, 72]}, {'text': 'glasgow', 'indices': [80, 88]}, {'text': 'global', 'indices': [89, 96]}, {'text': 'cop26goal', 'indices': [105, 115]}, {'text': 'emmissions', 'indices': [116, 127]}, {'text': 'coal', 'indices': [128, 133]}, {'text': 'energy', 'indices': [134, 141]}, {'text': 'conservation', 'indices': [142, 155]}, {'text': 'manthra', 'indices': [163, 171]}]",2021-11-24 17:35:04
82,Andrew Edmonson,,@SenTedCruz We can't afford the GOP's lie and deny agenda on climate. Republicans giving concerned statements while doing nothing to address global warming is not the solution we need.  https://t.co/z3XMWIvMBA,[],2021-11-24 17:26:55
83,Citizens Climate Austin,"Austin, TX","Climate Change in the American Mind: 60 percent understood global warming is mostly human-caused, 27 percent believed it to be due mostly to natural changes in the environment, and 59 percent knew that most scientists agree global warming is happening https://t.co/HoCURBog4a",[],2021-11-24 17:20:28
84,Paul Revere,,"@plaguespanics 3. Today we are paying for and seeing the repercussions of this massive divergence (global warming/climate change), namely, the massive adoption of coal that begins in Britain which represents the shift of a fossil-fuel driven economy. (48:30)",[],2021-11-24 17:19:23
85,Snotsicle #KBF,London,"@Roddy_Campbell @RichardTol The bloke albatrosses are most likely sick to death of their wives constantly squawking about ""climate change"" and ""global warming"" that they have opted to fly the nest and shack up with more mellow birds.",[],2021-11-24 17:14:17
86,JB-007,"Toronto, Ontario","@levinepmc “Climate change denial, or global warming denial, is denial, dismissal, or unwarranted doubt that contradicts the scientific consensus on climate change…”
So glad there are so few idiotic antiVax and anti climate science people in Canada",[],2021-11-24 17:13:28
87,Suzanne Hoskins,,"@SpeakerPelosi Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:10:16
88,Suzanne Hoskins,,"@SpeakerPelosi @stanthonysf Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:07:19
89,Suzanne Hoskins,,"@CNN Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:05:00
90,Suzanne Hoskins,,"@FoxNews Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:04:32
91,Suzanne Hoskins,,"@ABCWorldNews Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:03:51
92,Suzanne Hoskins,,"@NBCPolitics Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:03:37
93,Suzanne Hoskins,,"@TODAYshow Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:03:17
94,Suzanne Hoskins,,"@latimes Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:01:31
95,Suzanne Hoskins,,"@sfchronicle Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:00:47
96,Suzanne Hoskins,,"@sfchronicle Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:00:40
97,Suzanne Hoskins,,"@sfchronicle Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 17:00:34
98,Suzanne Hoskins,,"@MailOnline Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 16:57:42
99,Suzanne Hoskins,,"@TheDemocrats @JoeBiden Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 16:56:57
100,Suzanne Hoskins,,"@TheDemocrats Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 16:56:52
101,Suzanne Hoskins,,"@nytimes Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 16:56:10
102,Suzanne Hoskins,,"@nypost Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door. https://t.co/yft0jTKB0F",[],2021-11-24 16:55:25
